Temperature (K),Luminosity (L/Lo),Radius (R/Ro),Absolute Magnitude (Mv),Color,Spectral Class,Galaxy,Constellation,Age (in million years),Metallicity ([Fe/H]),Rotational Velocity (km/s),Distance (light years),Star Type ID,Star Type
2754,0.009124509481289967,0.42046704873610874,9.929476183012964,Red,M,Andromeda,Ursa Major,1728.7086253095138,-0.07260348610585891,3.6916869754175554,6723.311003335687,1,Red Dwarf
3197,0.009340344008646443,0.3156830314299668,9.904092820584939,Red,M,Andromeda,Ursa Major,12297.789725879908,-1.4314397200419753,7.8183762429137085,150.30533150548575,1,Red Dwarf
6619,356600.8626894414,455.0525030545009,-9.050455973716474,Yellow-White,F,Sombrero,Pegasus,2.20511249143145,-0.4233220011700928,25.86951394153478,8095.3330906941455,4,Supergiant
2494,0.00990023941640464,0.5340538193733997,9.840885756949012,Red,M,Sombrero,Cassiopeia,2918.429731375234,-0.3435347958390889,7.8948987093837335,71372.14946429903,1,Red Dwarf
9039,0.0020794675307051957,0.018633325647038408,11.53511964105557,White,A,Triangulum,Cassiopeia,12664.492881857981,0.37293887792214697,106.03218537863961,572.8881619046227,2,White Dwarf
4216,59697.45748352043,458.9145085080457,-7.1098895872710415,Orange,K,Andromeda,Scorpius,185.95507347246036,-0.010527432652155392,6.899087361474093,59030.504748666426,4,Supergiant
2379,0.00026180570879314255,0.09544556366918552,13.785052219230835,Red,M,Andromeda,Orion,7098.179357034781,0.41145005536481505,8.56612907262064,25742.604104346832,0,Brown Dwarf
7199,8.386727510214016,1.8655504333569368,2.521018668101067,Yellow-White,F,Triangulum,Orion,11855.078880499494,0.09596745310943974,93.43904890819269,2702.9798600207446,3,Main Sequence
29639,46142341.034990944,258.1533670627657,-14.330249061764535,Blue-White,B,Andromeda,Scorpius,60.44149162564621,-0.4349643926470331,127.79123506442112,139.9200951298365,4,Supergiant
3463,0.009692041405258915,0.2740676161637504,9.863961847965234,Red,M,Milky Way,Lyra,668.2830920308913,-0.6389517441141281,3.8226605570987897,31662.714470928255,1,Red Dwarf
2907,0.014543367359808275,0.47642824278553064,9.42333756408004,Red,M,Andromeda,Aquila,8355.770762811733,-0.37426971048810975,1.5675426626878401,107.97557114401775,3,Main Sequence
11494,4908017.041824549,559.8423142871966,-11.897265155083174,Blue-White,B,Whirlpool,Lyra,4.13027906678681,-0.1550595981835845,272.07459402835076,20.352935599129765,4,Supergiant
2470,0.004063762825441674,0.3488392507924092,10.807679117095581,Red,M,Whirlpool,Perseus,4373.082011711758,-0.43101555282946713,5.034864092260781,81.67581783541723,1,Red Dwarf
6399,0.00021003757252645983,0.011816241265067296,14.024257524101563,Yellow-White,F,Triangulum,Cassiopeia,8896.035122270816,-0.25197669564730474,32.15458970384703,22.069871502058938,2,White Dwarf
5818,0.8268459465214908,0.8968502675511117,5.036438495791842,Yellow,G,Andromeda,Cassiopeia,742.3220115597034,0.30654016020513697,9.0633419953479,9195.288548862653,3,Main Sequence
24062,3768.455847913777,3.539756156497076,-4.110408578361607,Blue-White,B,Milky Way,Cygnus,19.462795674892295,0.27133740993737615,262.7625678045649,256.4363109637375,3,Main Sequence
6629,0.0005486803772235332,0.01779585060652185,12.981701428632851,Yellow-White,F,Triangulum,Lyra,11027.082528775658,-0.32145605481226114,66.43706379436415,317.91132517693393,2,White Dwarf
3550,0.020019180549899516,0.37481893049348325,9.076384258942506,Red,M,Triangulum,Pegasus,11974.4944694714,-0.034173264979522756,8.712613131223861,320.7097905556337,1,Red Dwarf
9013,0.0005980182502616319,0.010050173329754398,12.888213905133586,White,A,Whirlpool,Scorpius,11394.53063207508,0.5,163.38240685865213,50.33556192086177,2,White Dwarf
3404,0.012633918912341275,0.3238508302395001,9.576154787108905,Red,M,Triangulum,Aquila,4466.627650510053,0.10787200642032027,6.169850987107529,1283.789413944355,1,Red Dwarf
8549,0.00034778464202266676,0.00851882390270422,13.476724000284646,White,A,Triangulum,Scorpius,10509.780641380386,0.23051429138840607,171.05828964861848,5872.083693665394,2,White Dwarf
2944,0.01720977817133599,0.5053207125994955,9.240561818891383,Red,M,Sombrero,Perseus,4401.398281178372,-0.8774937336910128,7.830432807579982,242.8815684041481,1,Red Dwarf
5648,1.0561295730211842,1.075534388286989,4.7707069909733235,Yellow,G,Sombrero,Cygnus,4045.6519307082053,0.27990624541274417,27.387314115298103,,3,Main Sequence
4648,0.22422901273977455,0.7317601222582648,6.453270488076976,Orange,K,Triangulum,Scorpius,395.71926601372695,-0.016673517421363998,13.461556894499502,685.6391812677471,3,Main Sequence
3011,0.0035487510328796276,0.2193670171525239,10.954811170156862,Red,M,Whirlpool,Orion,10136.389710614401,-0.37556839238443307,5.316333517611624,5637.887270350832,1,Red Dwarf
2593,0.005163407050513646,0.35679455923959974,10.547659091399158,Red,M,Whirlpool,Lyra,10505.18946589548,-0.2174739717943388,7.115342257148001,42106.86978561238,3,Main Sequence
2699,0.010229180889477864,0.4635213419562645,9.805397853506099,Red,M,Sombrero,Ursa Major,8173.386607061897,-0.366003254555268,8.242242632115794,235.15700000722697,1,Red Dwarf
7964,0.0005431536211481071,0.012267439136185172,12.992693301804971,White,A,Whirlpool,Perseus,3921.380011380841,-0.15320925591691803,130.40118828419696,27.781953981614237,2,White Dwarf
2846,0.003970160460287465,0.25971038343441544,10.832979850466812,Red,M,Milky Way,Orion,7421.139738404985,-1.0059285032836403,9.332380035629676,46357.89616979507,1,Red Dwarf
3644,0.03542431806883928,0.47320474166591187,8.45674625332163,Red,M,Sombrero,Scorpius,12352.566700595862,-0.3128620822387872,5.898342787826868,3739.159234973646,3,Main Sequence
3156,0.009529682108878279,0.32720527221453244,9.882303965786832,Red,M,Andromeda,Cassiopeia,4370.5853538597785,-0.6629417775015822,3.144722767288656,84.4983283089237,1,Red Dwarf
6544,0.0005438337810105944,0.018180322552684924,12.991334547724401,Yellow-White,,Sombrero,Cygnus,9204.244019637732,0.3743367615831957,49.17792679478616,44.78710328887062,2,White Dwarf
5030,0.429069908365721,0.8643370582662864,5.748679856111657,Orange,K,Whirlpool,Pegasus,10766.431689395396,-0.12823934853146013,1.446084230654962,,3,Main Sequence
3326,0.013756479069973357,0.35396818674638075,9.483731770656787,Red,M,Milky Way,Orion,121.84633682253843,0.14171220533719747,7.050226199809421,130.31685179632044,1,Red Dwarf
6484,903942.8147324964,754.9871173631708,-10.060352392472506,Yellow-White,F,Whirlpool,Pegasus,140.21172908872333,-0.48588948731825915,113.13331748495096,28973.59411262989,4,Supergiant
3376,0.0012322840148254017,0.10282663092270825,12.103222962863931,Red,M,Triangulum,Pegasus,2989.6258790651527,-0.12078841088134191,7.0354171631202345,64085.7636204296,1,Red Dwarf
4185,0.1848077842032521,0.8194534355535057,6.663199350033824,Orange,K,Sombrero,Cygnus,7329.036232156811,0.2475139705139836,4.063117474203771,675.1378620192945,3,Main Sequence
2673,0.0007119167817718442,0.12467281706781538,12.698926923666043,Red,M,Sombrero,Cygnus,6620.050442788625,-0.6929141703687564,6.6554559646227345,18.92649318091745,1,Red Dwarf
3131,0.01736037359681403,0.4487128153627713,9.231102332505824,,M,Sombrero,Ursa Major,12595.233909273868,0.15683947997038106,7.125464757127812,13.999311966555526,1,Red Dwarf
3889,0.19448000628509604,0.9734567674183989,6.6078126003235855,Orange,K,Whirlpool,Cygnus,792.3327097746721,0.039233316404200025,4.771547940266263,1560.8485400641657,3,Main Sequence
7834,0.00041008506346132585,0.011016025085580288,13.29781512185846,White,A,Whirlpool,Orion,5279.5544261489285,0.2484848763347554,220.58414330008972,1813.8611952936149,2,White Dwarf
3736,0.031010460345494355,0.4212068705104588,8.601229466700781,Orange,K,Triangulum,Perseus,4267.352753469503,0.5,8.121661290894185,348.7199083036982,1,Red Dwarf
1047,1.22006602571103e-05,0.10637838153126405,17.114041665472833,Red,M,Whirlpool,Cassiopeia,6443.443236785308,-0.2107124183302899,8.061680946516628,650.4881082604728,0,Brown Dwarf
2674,0.0018474876095813991,0.20068875389651195,11.663546163941058,Red,M,Triangulum,Scorpius,5143.652101366032,0.4196915900066528,7.642706907937718,68811.26051970081,1,Red Dwarf
5259,0.9271307915538198,1.1623026711171875,4.912147487607082,Yellow,G,Milky Way,Orion,,-0.26513318890926085,2.9366902625448468,63103.43749265298,3,Main Sequence
8681,0.001895002420564562,0.019285035697296973,11.635975577383359,White,A,Andromeda,Scorpius,,0.18202020715353961,247.50752827488128,77.56867965427075,2,White Dwarf
5538,0.8155341880259317,0.9830378913646258,5.05139457043483,Yellow,G,Sombrero,Cassiopeia,11401.454031296182,-1.085411416837833,2.7640864991811176,3278.2935005784207,3,Main Sequence
5593,270575.4190114395,555.14905668333,-8.750720849162963,Yellow,G,Triangulum,Perseus,47.67459478548898,0.1854400519797556,18.48790845165222,5979.435239498899,4,Supergiant
4888,0.32441385855490645,0.7958704495625488,6.05225150386671,Orange,K,Milky Way,Cygnus,3769.02092859908,-0.17624454021312363,,79.10162236148487,3,Main Sequence
2559,0.0038465777213041448,0.31619264184762697,10.867313720204862,Red,M,Milky Way,Ursa Major,910.5830270616887,-0.3627927103515977,5.811213104246433,59649.33343651846,1,Red Dwarf
2628,0.004369057844808247,0.31952014938257367,10.729030513360705,Red,M,Andromeda,Orion,6109.588354199704,0.22258324621594092,8.83264099138393,111.78634787803985,1,Red Dwarf
2614,0.009441854935117963,0.4747583046806684,9.892356690910436,Red,M,Triangulum,Lyra,1379.2047529093766,-0.7107113637329856,4.8840493522755555,13.597280944088082,3,Main Sequence
2873,0.010985156999769714,0.423922977779444,9.727984329415253,Red,M,Whirlpool,Scorpius,7617.935780203086,-0.23742544475357816,,122.6786029987455,1,Red Dwarf
26816,653200.8915624772,37.522387617904364,-9.707616922098195,Blue-White,B,Whirlpool,Pegasus,58.66638719352585,-0.4597711091160389,224.1402706769099,105.90712703620449,4,Supergiant
7129,66991.73937708297,170.02331228950416,-7.235053134956267,Yellow-White,F,Andromeda,Perseus,190.71535932060104,-0.15881112621846932,102.54937848907784,14716.259824015839,4,Supergiant
2830,0.01233665603779079,0.4629999371539934,9.602006359497231,Red,M,Andromeda,Lyra,1000.920677393895,-0.0208869486766174,6.586615726446021,3789.595260766708,3,Main Sequence
7087,0.0008879233206952172,0.019806965302214347,12.45906134354005,Yellow-White,F,Milky Way,Scorpius,10231.072447586257,0.2935723836378212,14.953345578320757,146.70317294058185,2,White Dwarf
5528,0.860431211972927,1.0133910963411652,4.993209610129869,Yellow,G,Andromeda,Pegasus,3840.6660745835534,-0.578574582483946,10.971534225572764,30.4851712739487,3,Main Sequence
3181,0.0018406809223219579,0.1415523202087319,11.667553722228403,Red,M,Triangulum,Cassiopeia,10175.606731638929,0.46497596726838036,5.611156261018975,168.0975750211848,1,Red Dwarf
3031,0.005502819104874534,0.26957264537565184,10.478536908979772,Red,M,Triangulum,Cygnus,10170.839051694982,-0.5102354716312842,3.486662799566626,6204.018841388669,1,Red Dwarf
6635,0.0001145517174900684,0.008116597746198016,14.682495987468263,Yellow-White,F,Triangulum,Perseus,5659.145280442523,-0.48078231513213776,32.734296044458645,9399.817570647361,2,White Dwarf
6781,5.401635390489433,1.6874473032785922,2.9986868349153837,Yellow-White,F,Sombrero,Orion,12042.692361352205,-0.015291765636239333,92.83784810305657,5437.2100004785825,3,Main Sequence
9659,0.0016580655583532708,0.014571074945117368,11.780995754626923,White,A,Whirlpool,Scorpius,1758.751090315528,-0.335329279746823,76.9610568500292,317.57829611007554,2,White Dwarf
4025,0.02419855647949324,0.32056642613779174,8.870526350719263,Orange,,Sombrero,Scorpius,9846.830835202243,0.3041962947612591,3.924620480113637,14548.54532353087,1,Red Dwarf
2439,0.0006536276720836072,0.14348175810791777,12.791673924317868,,M,Triangulum,Orion,4161.324128526907,-0.503645755216868,7.5122699824764325,19.006086603135767,1,Red Dwarf
3859,0.011133614182873956,0.23655035361709556,9.713409581326982,Orange,K,Milky Way,Perseus,5241.738089059388,0.12479554230945034,8.559674357322843,16.34597119586691,1,Red Dwarf
4955,0.15539643341670997,0.5360289931775873,6.851397382840614,Orange,K,Milky Way,Cygnus,7171.374949283666,0.08411405077767448,12.283237066115566,2377.485675055099,1,Red Dwarf
4944,0.09368708290518565,0.4180594156827637,7.400800708205025,Orange,K,Sombrero,Aquila,9780.522503247512,0.40082100985843,4.920078482707748,21.61236594001954,1,Red Dwarf
3042,0.015208241024486159,0.44491407903414937,9.374802533167081,Red,M,Triangulum,Orion,1673.5441410211154,-0.35993658549365487,7.499333431085349,18678.316022984298,1,Red Dwarf
6965,0.00021466366749913512,0.010083054299562796,14.000603637627208,Yellow-White,F,Triangulum,Ursa Major,9919.18363684746,0.14333583130184596,95.68989772036106,7954.3789788585445,2,White Dwarf
5628,0.7467312541285854,0.9108126671646003,5.147089177687393,Yellow,G,Whirlpool,Scorpius,8501.05447149032,-0.522161073164791,5.295228015421371,111.38830743641553,3,Main Sequence
5156,0.5094521122620631,0.896356849046476,5.562241581929793,Orange,K,Triangulum,Lyra,1458.7241081256464,-0.22542565099740727,9.847733068241364,133.3585485535852,3,Main Sequence
7533,0.00043308877981620096,0.012243556970133797,13.238557668861903,White,A,Triangulum,Orion,6931.797013055609,-0.10506029674816897,,32817.595670105635,2,White Dwarf
9603,0.0016646430689405919,0.014770723916789751,11.776697182882469,White,A,Whirlpool,Lyra,5421.501635812026,0.3253389500395354,225.70190830586162,1961.7677973349776,2,White Dwarf
18020,1784.1344543058917,4.342694631417477,-3.298568950440494,Blue-White,B,Triangulum,Cassiopeia,99.09288842131627,-0.824103370266937,330.32993032691166,12619.544237562406,3,Main Sequence
27570,10988316.273932705,145.5952204575824,-12.772327877792085,Blue-White,B,Whirlpool,Cassiopeia,11.613202093965164,-0.13017526267473073,297.1743950045465,32.2182910173063,4,Supergiant
5830,1.5132772087121913,1.208306776508364,4.3802037718346885,Yellow,G,Sombrero,Cygnus,6257.22234808526,0.5,15.693506077429472,131.48318131865238,3,Main Sequence
5982,1.7891673415600327,1.247922855245365,4.198372594476867,Yellow,G,Triangulum,Orion,8013.809234646848,0.3916120993684258,24.81886436355542,10002.167680768265,3,Main Sequence
7229,290364.19483386696,344.24699388280294,-8.827357654856817,Yellow-White,F,Whirlpool,Scorpius,141.67364913640617,-1.599611831564896,79.7397174735925,330.618093998268,4,Supergiant
2302,0.0002619078465244109,0.10195738572956442,13.78462872576579,Red,M,Milky Way,Lyra,8946.40678655485,0.3554143301508645,,103.01920339074839,0,Brown Dwarf
5372,0.63899881872739,0.9247686416859153,5.316249861727044,Yellow,G,Sombrero,Pegasus,9320.166847371833,0.3446381368111694,16.256506495630603,43.75318961967053,3,Main Sequence
5041,0.09310301395373673,0.4008699946625873,7.407590649257449,Orange,K,Sombrero,Perseus,905.0254138565923,0.07788519276185617,5.331534208602628,20.857843000815976,1,Red Dwarf
7076,0.0003456098337670207,0.012395740392342727,13.483534772181399,Yellow-White,F,Triangulum,Cassiopeia,10188.022518259362,-0.35732223448373196,118.71420804044939,272.94503118189135,2,White Dwarf
5558,0.656737201597653,0.8758178638916221,5.286520954823232,Yellow,G,Milky Way,Cassiopeia,4581.713791214607,,6.077769540925928,48492.08043042722,3,Main Sequence
5012,0.5445379485281451,0.9807245023294238,5.489929622818787,Orange,K,Triangulum,Lyra,10238.575563169235,0.2011767442040645,5.15619145932288,55.4589489621119,3,Main Sequence
2756,0.0039574450664119935,0.2765057048653602,10.83646276224407,Red,M,Triangulum,Cygnus,11569.361851994821,,1.9852831486982692,73890.60067119767,1,Red Dwarf
5534,0.7668043598933251,0.9545947733595825,5.118288566192587,,G,Whirlpool,Cassiopeia,11691.910598262746,-0.7515919327495763,27.48847286087263,1075.354234948889,3,Main Sequence
4716,0.12980877820724182,0.5408284299810265,7.0467398443772495,Orange,K,Triangulum,Scorpius,3235.7886939552423,0.144950155772227,13.894094273169163,4350.262296312415,1,Red Dwarf
2476,0.0032409910572787953,0.31002214065250644,11.053305418238537,Red,M,Triangulum,Orion,5037.5273536752575,-0.32974228188970234,3.982880955325321,15.226072533534417,1,Red Dwarf
3418,0.012903525283538579,0.3246124308033715,9.553229057191729,Red,M,Andromeda,Orion,2240.5194086330744,-0.7357215711204617,8.960874148937252,19302.365509337353,3,Main Sequence
5176,0.15831814964887686,0.4958289637405724,6.831173236525032,Orange,K,Andromeda,Aquila,9521.24038482117,0.28383647373178256,7.012034270884829,910.6152063546658,1,Red Dwarf
5273,0.3962206882695751,0.7558021210681198,5.835157129876401,Yellow,G,Sombrero,Pegasus,4139.062388485289,0.021169941941658558,16.548275534840023,2911.888731534417,3,Main Sequence
6576,4.128922825696825,1.5687359482173373,3.2904080862785157,Yellow-White,F,Andromeda,Cassiopeia,6446.376884161997,0.3049905856320363,18.057243165599346,68677.6841671654,3,Main Sequence
9062,19.63059968450622,1.8012489586471983,1.5976660829289355,White,A,Milky Way,Lyra,7430.80922014911,,183.14121116340573,15.974174413100949,3,Main Sequence
19775,4768.6284219485615,5.895475408322467,-4.365983707329988,Blue-White,B,Andromeda,Perseus,22.328775199182683,0.2527034253109169,215.02550263698063,2233.2003106219518,3,Main Sequence
2245,0.00020268918820290358,0.09430564200790842,14.062923541797934,Red,M,Whirlpool,Perseus,2390.0723552656623,0.21812965354739539,7.925229238361347,38545.87008263215,0,Brown Dwarf
3195,0.0030795388828052015,0.18149146070147157,11.108785770149504,Red,M,Sombrero,Scorpius,4489.3310878689035,-0.16522525083577633,2.7802270831074036,4216.147371499203,1,Red Dwarf
8223,0.0016163761657411167,0.019850237782366772,11.808643905167987,White,A,Milky Way,Lyra,3708.1174472657235,-0.07712068441292423,221.18697344982056,2105.31137711355,2,White Dwarf
5080,0.0635393199545221,0.326098597993867,7.822393594073523,Orange,K,Triangulum,Lyra,2838.9165894540643,-0.47414032327556566,11.383987121048653,102.26447802185076,1,Red Dwarf
3964,0.07981320057784183,0.6002402948267401,7.574813183152205,Orange,K,Andromeda,Perseus,9757.057490285297,-0.09924715360288987,9.857660428135974,3011.4158691100815,3,Main Sequence
9322,17.4334020696055,1.6040871177611153,1.726544633790886,White,A,Whirlpool,Cygnus,2434.49706715449,0.2354073660279167,215.05183070909837,570.9098221650212,3,Main Sequence
7049,4.512782628658285,1.427322990983251,3.1938889625921663,Yellow-White,F,Andromeda,Ursa Major,12270.236652026131,0.044642461990155397,67.91118648995648,29.397105743956146,3,Main Sequence
9892,865696.8652835961,317.44594372673185,-10.013414612314358,White,A,Triangulum,Ursa Major,145.75452795002556,0.061253020012235294,66.08043431393568,12.614238349684955,4,Supergiant
3019,0.002053561792867902,0.16599031028138558,11.548730561100832,Red,M,Sombrero,Perseus,2155.723908465186,0.014138911168932783,7.721759955718487,176.88149061397795,1,Red Dwarf
2658,0.010122980781794808,0.47544395283000074,9.816728969117568,Red,M,Whirlpool,Scorpius,1807.4128433318813,-0.2042941955904934,3.73198541705329,326.2168883586255,1,Red Dwarf
16891,1444.63695487333,4.447579412923675,-3.0693968005947205,Blue-White,B,Triangulum,Perseus,84.71986455791468,-0.49068657283384876,162.59346869254517,10.19339160995435,3,Main Sequence
3647,0.015359971241498554,0.3110847700778996,9.364023993585189,Red,M,Andromeda,Orion,7448.579535371186,0.33913271242205845,8.304865955135217,29.44920518239272,1,Red Dwarf
3647,0.011088072071168863,0.2643087668420139,9.71785989964966,Red,M,Sombrero,Cassiopeia,3171.155240335394,0.3721100981940256,7.5198426043743805,205.03490836094943,1,Red Dwarf
5310,0.9550542268371736,1.1571243915059122,4.87992992248681,Yellow,G,Milky Way,Aquila,10326.234997380721,0.5,14.10200250481973,36.14166118055397,3,Main Sequence
5187,0.1991096427449484,0.5536926080402899,6.582269267190217,Orange,K,Whirlpool,Aquila,10200.524673857017,0.5,12.519215394607324,26367.514565269277,1,Red Dwarf
3306,0.008619355732708467,0.28358730083859374,9.991312987464447,Red,M,Milky Way,Scorpius,10075.388578893611,0.21654729706482093,5.1459925755907,7576.543643968484,3,Main Sequence
12651,845.4542218455722,6.065273820411936,-2.487725242909221,Blue-White,B,Milky Way,Pegasus,36.83645457638004,0.033199124709109525,,11301.199887974211,3,Main Sequence
842,3.1363551773630596e-06,0.08339567175942965,18.58893690352575,Red,M,Sombrero,Cygnus,11786.592491673448,,9.721674076230327,56.71332162852359,0,Brown Dwarf
4820,0.15647471979155933,0.56843798304055,6.843889543726305,Orange,K,Milky Way,Ursa Major,6699.515839747845,0.32264188386647485,7.482108469977869,18342.659317867066,3,Main Sequence
5540,1.0977255234559045,1.1396786870001894,4.728765594501199,Yellow,G,Andromeda,Lyra,7619.122393399294,-0.20769803077592305,,4019.5584355150963,3,Main Sequence
6669,1044278.1217327765,767.081890409069,-10.217040448408659,Yellow-White,F,Whirlpool,Cassiopeia,4.870387175408293,0.07131875292632923,23.382203942246417,21.46408132378178,4,Supergiant
3448,0.03210967549506682,0.5031975512311556,8.563410208632323,Red,M,Milky Way,Lyra,1385.7810591026102,0.050024237050550105,7.458654435216809,11.386953033822525,1,Red Dwarf
4434,0.11401233303541344,0.5733761363189412,7.1876204181606,Orange,K,Milky Way,Aquila,478.96206437758246,0.5,12.405392506515515,7922.367165588735,1,Red Dwarf
2459,0.004570677695766035,0.37327449488436787,10.680048505453877,Red,M,Milky Way,Scorpius,7470.795195247742,-0.6205106079453633,9.30744966344622,716.6863015106915,3,Main Sequence
15175,5664411.690179947,345.0444774133717,-12.052887026020946,Blue-White,B,Milky Way,Cassiopeia,95.39792380306157,0.05243104721899097,240.6807191879359,280.1397969303456,4,Supergiant
2445,0.006936847380319823,0.4651343550275524,10.227094651099472,,M,Sombrero,Pegasus,5202.9806397586235,-0.07444792677994432,3.437554897315318,24.93288859295089,1,Red Dwarf
8499,0.0016725580541794526,0.018902098284829583,11.771546997544265,White,A,Whirlpool,Perseus,1549.6918989980772,0.07163202054710148,179.16621356615806,101.70924771625418,2,White Dwarf
9640,26.12059518602495,1.8360839805970128,1.287542328536305,White,A,Andromeda,Perseus,6650.490403687934,-0.3029632073117535,154.88362230937673,40.54781838957674,3,Main Sequence
3412,0.02418124762847015,0.44593995147943954,8.871303238818207,Red,M,Whirlpool,Pegasus,4569.448955120643,0.19251224794113278,1.4174863478251387,28.78825257713727,3,Main Sequence
3181,0.005748964395312976,0.25016269464003593,10.431025952583614,Red,M,Triangulum,Scorpius,7020.90319887804,-0.5597697301969491,6.123572566889707,29.258062909886174,1,Red Dwarf
4633,0.19845400276847727,0.6928837978802084,6.585850342638699,Orange,K,Triangulum,Ursa Major,5963.154448162235,0.0019046117775491974,7.95489499173004,824.2843150081019,3,Main Sequence
2705,0.0075146533310698925,0.39552597638862225,10.140227624145146,Red,M,Triangulum,Cassiopeia,406.85597339891035,0.41804907738591535,5.020848174011381,169.517687535657,3,Main Sequence
4486,0.39273980997066793,1.0396544082130408,5.844737685872236,Orange,K,Whirlpool,Cassiopeia,8030.301541859049,0.3628019875091566,14.225247770642094,49150.21655593509,3,Main Sequence
3015,0.011720959265181989,0.3976143230507593,9.657592108481051,Red,M,Whirlpool,Scorpius,7457.772044196391,0.1903262900410192,6.643552800589551,72921.81324835996,1,Red Dwarf
1152,2.1736758570863157e-05,0.11728635989183256,16.487013045719127,Red,M,Whirlpool,Scorpius,3511.664586166893,0.28008402598878473,5.30046844905495,6610.0929967216125,0,Brown Dwarf
3391,0.004905404953249619,0.20334660599110363,10.603312836814908,Red,M,Triangulum,Aquila,425.93294646903223,-0.21153988871915483,2.5377304238434126,158.3701847112773,1,Red Dwarf
7241,3.4926614273036414,1.1899705791103719,3.472108780237717,Yellow-White,F,Sombrero,Cassiopeia,2213.877390401142,,67.41854310183604,29.25454675506309,3,Main Sequence
1876,8.21556860857077e-05,0.08598213412256334,15.043405932970707,Red,M,Milky Way,Pegasus,10817.45043006217,0.13945928360794332,7.2674149500293055,19610.023009583176,0,Brown Dwarf
1155,1.9822554182313206e-05,0.11142199068264749,16.587100965972027,Red,M,Milky Way,Cassiopeia,10983.797908050225,-0.144398252319757,6.4507528246725725,6061.039102097236,0,Brown Dwarf
2699,0.001392170900761805,0.1709997918864127,11.970768620323026,Red,M,Milky Way,Perseus,6087.50146704094,0.06050120890459107,3.3060353950073242,11613.807866887058,1,Red Dwarf
4482,0.1106125070985301,0.5527305747541577,7.22048941004719,Orange,K,Whirlpool,Aquila,9451.29766696945,0.3166624271523732,5.2059983894638835,13631.984453925008,1,Red Dwarf
3893,0.07409723841703768,0.5996354204583598,7.655494944376616,Orange,K,Andromeda,Scorpius,3648.880153825078,-0.18155754745774605,11.941641295527878,1721.345492862378,1,Red Dwarf
1494,3.633736167923963e-05,0.0901634613625546,15.929116520978267,Red,M,Triangulum,Cygnus,5051.428218558409,-0.0324206569555189,6.517600308525989,1250.5330264755016,0,Brown Dwarf
8928,0.0011454531875777776,0.014175402016392358,12.1825566371862,White,A,Sombrero,Cygnus,4169.510786840232,0.09631814525155136,235.84966985547115,140.4106379992465,2,White Dwarf
6880,6.023915832291935,1.7310820222138759,2.8803027620991224,Yellow-White,F,Triangulum,Ursa Major,3322.7184995076846,-0.23382549356826302,78.41802410837566,22574.627945372842,3,Main Sequence
